City,Cu St ID,Order Date,Order ID,Ship Date,Ship Mode,State,Zip Code
San Jose,NF-18595,2017-04-19,CA-2014-169460,2017-04-21,Second Class,California,95123
Houston,MV-18190,2018-03-05,CA-2015-120320,2018-03-09,Standard Class,Texas,77036
Los Angeles,KT-16465,2018-12-24,CA-2015-158456,2018-12-29,Standard Class,California,90032
Baltimore,SV-20785,2020-02-13,CA-2017-151176,2020-02-20,Standard Class,Maryland,21215
Fairfield,TB-21055,2020-08-03,CA-2017-163566,2020-08-06,First Class,Ohio,45014
San Francisco,KW-16570,2018-11-20,US-2015-158589,2018-11-24,Standard Class,California,94109
Rancho Cucamonga,DL-13315,2020-01-03,US-2017-114034,2020-01-08,Standard Class,California,91730
Hialeah,JK-15205,2019-10-01,CA-2016-116918,2019-10-06,Second Class,Florida,33012
Yonkers,AB-10150,2017-03-05,CA-2014-169061,2017-03-08,Second Class,New York,10701
Columbus,LT-17110,2020-11-26,CA-2017-122700,2020-11-30,Standard Class,Ohio,43229
Warner Robins,DJ-13420,2018-10-04,CA-2015-168004,2018-10-09,Second Class,Georgia,31088
Virginia Beach,DA-13450,2017-09-10,US-2014-138835,2017-09-14,Standard Class,Virginia,23464
Seattle,TR-21325,2019-09-08,CA-2016-110009,2019-09-13,Standard Class,Washington,98103
San Clemente,AF-10870,2019-04-23,CA-2016-126270,2019-04-27,Standard Class,California,92672
Philadelphia,EH-13765,2017-10-18,CA-2014-138450,2017-10-22,Standard Class,Pennsylvania,19134
Philadelphia,RL-19615,2020-07-07,US-2017-169551,2020-07-09,First Class,Pennsylvania,19120
Rome,MM-17920,2019-04-22,CA-2016-101329,2019-04-29,Standard Class,New York,13440
Dallas,GK-14620,2018-11-20,CA-2015-161767,2018-11-24,Standard Class,Texas,75217
Dallas,BF-11215,2020-10-26,CA-2017-102729,2020-10-31,Standard Class,Texas,75217
Jacksonville,TB-21280,2017-12-01,CA-2014-131527,2017-12-07,Standard Class,North Carolina,28540
Los Angeles,TH-21235,2019-11-21,CA-2016-152646,2019-11-26,Standard Class,California,90049
Conroe,CS-12490,2019-11-01,CA-2016-100671,2019-11-04,First Class,Texas,77301
Edinburg,NF-18385,2019-08-18,CA-2016-113551,2019-08-20,First Class,Texas,78539
Springfield,JP-16135,2020-05-12,US-2017-106796,2020-05-19,Standard Class,Ohio,45503
Decatur,JG-15805,2017-04-05,CA-2014-151001,2017-04-07,First Class,Illinois,62521
New York City,CB-12415,2020-11-16,US-2017-157896,2020-11-16,Same Day,New York,10009
Beaumont,AC-10615,2020-03-24,CA-2017-101637,2020-03-25,Same Day,Texas,77705
Phoenix,AB-10105,2019-09-25,US-2016-122245,2019-09-30,Standard Class,Arizona,85023
Lakewood,CB-12415,2018-11-05,US-2015-136259,2018-11-08,First Class,Ohio,44107
Pocatello,MV-17485,2019-03-26,CA-2016-161361,2019-03-28,Second Class,Idaho,83201
Vineland,CA-12775,2020-05-12,CA-2017-122175,2020-05-14,Second Class,New Jersey,8360
Chicago,RB-19465,2017-03-14,CA-2014-152618,2017-03-17,First Class,Illinois,60653
Scottsdale,MT-17815,2018-11-06,CA-2015-105312,2018-11-09,First Class,Arizona,85254
Louisville,SR-20425,2020-04-17,CA-2017-134845,2020-04-23,Standard Class,Colorado,80027
Auburn,JG-15805,2020-05-21,CA-2017-167899,2020-05-26,Standard Class,New York,13021
Arlington,DC-12850,2020-09-18,CA-2017-131016,2020-09-20,First Class,Texas,76017
Houston,MR-17545,2017-09-03,US-2014-120236,2017-09-04,First Class,Texas,77095
Raleigh,BW-11065,2018-08-11,CA-2015-119634,2018-08-16,Standard Class,North Carolina,27604
New York City,RM-19675,2017-11-14,CA-2014-166989,2017-11-18,Standard Class,New York,10011
San Francisco,RW-19630,2019-07-30,CA-2016-112585,2019-08-02,First Class,California,94122
Houston,SZ-20035,2017-09-07,CA-2014-105165,2017-09-10,First Class,Texas,77036
Dallas,JG-15805,2017-10-07,CA-2014-132801,2017-10-12,Standard Class,Texas,75217
Houston,GW-14605,2017-03-01,CA-2014-168312,2017-03-07,Standard Class,Texas,77036
Indianapolis,CT-11995,2018-09-15,CA-2015-145849,2018-09-17,Second Class,Indiana,46203
New York City,MW-18220,2017-09-20,CA-2014-125997,2017-09-23,First Class,New York,10011
Sanford,MH-18115,2020-04-30,US-2017-108315,2020-05-04,Standard Class,Florida,32771
Phoenix,EM-14095,2018-11-21,US-2015-159499,2018-11-23,Second Class,Arizona,85023
Columbus,AR-10570,2019-07-14,CA-2016-157588,2019-07-19,Standard Class,Georgia,31907
Noblesville,DL-12925,2018-10-12,CA-2015-134747,2018-10-17,Second Class,Indiana,46060
Oklahoma City,AA-10645,2018-11-17,CA-2015-110863,2018-11-24,Standard Class,Oklahoma,73120
Chicago,CM-12190,2020-08-03,CA-2017-165386,2020-08-04,First Class,Illinois,60623
Chicago,QJ-19255,2019-04-10,CA-2016-109652,2019-04-15,Standard Class,Illinois,60653
Chicago,VG-21805,2017-09-22,CA-2014-103191,2017-09-27,Standard Class,Illinois,60653
Coppell,JD-15790,2020-09-04,CA-2017-152485,2020-09-08,Standard Class,Texas,75019
Baltimore,RP-19390,2017-05-24,CA-2014-143413,2017-05-30,Standard Class,Maryland,21215
Los Angeles,PS-18970,2017-04-15,US-2014-120740,2017-04-15,Same Day,California,90049
Los Angeles,TH-21100,2020-01-20,CA-2017-161809,2020-01-26,Standard Class,California,90045
Niagara Falls,NP-18685,2019-11-19,CA-2016-113138,2019-11-25,Standard Class,New York,14304
El Cajon,MY-18295,2019-10-20,CA-2016-139549,2019-10-25,Standard Class,California,92020
Salt Lake City,PB-18805,2019-10-15,CA-2016-125738,2019-10-21,Standard Class,Utah,84106
Orem,SV-20815,2020-10-15,CA-2017-100237,2020-10-19,Standard Class,Utah,84057
Concord,GM-14455,2020-08-06,CA-2017-151981,2020-08-12,Standard Class,New Hampshire,3301
Mesa,RW-19540,2018-09-26,CA-2015-124800,2018-09-30,Standard Class,Arizona,85204
Seattle,RD-19660,2018-04-12,CA-2015-145415,2018-04-17,Second Class,Washington,98103
Philadelphia,VM-21685,2018-11-01,CA-2015-105221,2018-11-03,First Class,Pennsylvania,19140
Roseville,JB-16000,2020-09-09,US-2017-159562,2020-09-15,Standard Class,Michigan,48066
Columbus,SV-20365,2019-09-18,CA-2016-157511,2019-09-20,First Class,Ohio,43229
Springfield,MP-18175,2019-12-15,US-2016-127334,2019-12-21,Standard Class,Oregon,97477
Decatur,RE-19450,2017-06-03,CA-2014-163867,2017-06-06,First Class,Illinois,62521
San Francisco,KD-16345,2020-06-17,CA-2017-157833,2020-06-20,First Class,California,94122
Rochester,JC-16105,2020-10-23,CA-2017-139913,2020-10-29,Standard Class,New York,14609
Deltona,EP-13915,2018-06-21,CA-2015-123330,2018-06-27,Standard Class,Florida,32725
San Francisco,SS-20590,2017-08-05,CA-2014-150490,2017-08-11,Standard Class,California,94122
Fayetteville,CM-11935,2019-01-22,US-2016-135923,2019-01-28,Standard Class,North Carolina,28314
Pasadena,LC-16930,2019-08-26,CA-2016-152289,2019-08-28,First Class,Texas,77506
Richmond,TT-21460,2020-11-26,CA-2017-141439,2020-12-01,Standard Class,Indiana,47374
Woodstock,VM-21685,2020-07-16,CA-2017-109778,2020-07-21,Standard Class,Illinois,60098
New York City,TA-21385,2020-10-22,CA-2017-127180,2020-10-24,First Class,New York,10024
Chicago,MO-17500,2020-10-19,CA-2017-117653,2020-10-23,Standard Class,Illinois,60623
Des Moines,TG-21310,2019-09-02,CA-2016-166429,2019-09-08,Standard Class,Washington,98198
Boynton Beach,AS-10630,2020-04-30,CA-2017-124597,2020-05-05,Standard Class,Florida,33437
Belleville,TR-21325,2020-06-20,CA-2017-101434,2020-06-27,Standard Class,New Jersey,7109
Durham,MY-18295,2020-10-20,US-2017-115252,2020-10-25,Standard Class,North Carolina,27707
Oakland,YS-21880,2020-12-21,CA-2017-138380,2020-12-25,Standard Class,California,94601
Mcallen,CK-12205,2019-07-23,CA-2016-112256,2019-07-28,Standard Class,Texas,78501
Chicago,HA-14920,2020-09-11,CA-2017-117044,2020-09-13,Second Class,Illinois,60623
New York City,AP-10720,2020-11-19,CA-2017-143021,2020-11-19,Same Day,New York,10011
Memphis,HF-14995,2019-05-01,CA-2016-164784,2019-05-04,First Class,Tennessee,38109
Chicago,CS-11845,2017-12-14,CA-2014-130575,2017-12-16,First Class,Illinois,60623
New York City,CL-12565,2017-09-02,CA-2014-127936,2017-09-04,First Class,New York,10009
New York City,ES-14020,2019-06-11,CA-2016-127775,2019-06-13,Second Class,New York,10035
New York City,AA-10375,2020-12-11,CA-2017-100230,2020-12-15,Standard Class,New York,10035
Miami,BF-11275,2020-11-03,CA-2017-161130,2020-11-08,Standard Class,Florida,33178
San Francisco,HA-14920,2018-07-26,CA-2015-136735,2018-08-02,Standard Class,California,94110
Evanston,BP-11290,2017-10-03,CA-2014-153976,2017-10-08,Second Class,Illinois,60201
Las Vegas,RD-19480,2020-05-20,US-2017-166688,2020-05-26,Standard Class,Nevada,89115
Escondido,MH-17440,2017-02-04,CA-2014-104808,2017-02-08,Second Class,California,92025
Richmond,VG-21805,2019-03-24,CA-2016-113803,2019-03-26,First Class,Indiana,47374
Houston,GH-14410,2019-09-05,CA-2016-144540,2019-09-10,Standard Class,Texas,77070
Rochester,SH-20395,2018-10-11,CA-2015-112053,2018-10-13,Second Class,New York,14609
Dallas,LC-17140,2020-12-17,US-2017-116701,2020-12-21,Second Class,Texas,75220
Mesquite,FC-14335,2020-06-29,US-2017-126081,2020-07-04,Standard Class,Texas,75150
Los Angeles,PW-19030,2017-05-16,CA-2014-125150,2017-05-23,Standard Class,California,90036
Plantation,EB-13750,2018-03-12,CA-2015-128083,2018-03-17,Standard Class,Florida,33317
Lawrence,BP-11095,2020-09-24,CA-2017-160325,2020-09-24,Same Day,Massachusetts,1841
Monroe,BD-11605,2018-06-11,US-2015-123960,2018-06-16,Standard Class,Louisiana,71203
Los Angeles,KM-16720,2018-11-24,CA-2015-135545,2018-11-30,Standard Class,California,90004
Marion,JK-15205,2018-11-20,CA-2015-116484,2018-11-26,Standard Class,Ohio,43302
Philadelphia,KD-16495,2020-08-13,CA-2017-167542,2020-08-20,Standard Class,Pennsylvania,19120
New York City,AJ-10795,2019-12-26,CA-2016-123015,2019-12-30,Standard Class,New York,10024
Miami,BP-11095,2020-04-15,CA-2017-161851,2020-04-17,First Class,Florida,33180
San Francisco,BD-11500,2020-11-25,US-2017-133312,2020-11-29,Standard Class,California,94122
Philadelphia,JO-15145,2019-07-29,CA-2016-116344,2019-08-02,Standard Class,Pennsylvania,19140
Phoenix,NP-18670,2019-07-18,CA-2016-162110,2019-07-22,Standard Class,Arizona,85023
Los Angeles,AS-10240,2019-06-25,CA-2016-118913,2019-06-29,Standard Class,California,90049
Concord,SC-20095,2017-02-12,US-2014-110674,2017-02-18,Standard Class,California,94521
Waterbury,CP-12340,2019-06-17,CA-2016-133613,2019-06-22,Standard Class,Connecticut,6708
New York City,TD-20995,2020-04-23,CA-2017-104010,2020-04-25,First Class,New York,10011
Fayetteville,TB-21190,2018-11-27,CA-2015-160059,2018-12-01,Standard Class,Arkansas,72701
Chicago,LW-17215,2019-05-17,US-2016-117037,2019-05-20,First Class,Illinois,60653
San Francisco,RA-19885,2020-09-26,US-2017-106145,2020-09-26,Same Day,California,94109
Minneapolis,AC-10450,2020-10-03,CA-2017-141789,2020-10-06,First Class,Minnesota,55407
Phoenix,MF-17665,2017-12-30,US-2014-169789,2018-01-04,Standard Class,Arizona,85023
Milwaukee,BW-11110,2018-03-20,CA-2015-106565,2018-03-23,First Class,Wisconsin,53209
New York City,SM-20950,2018-03-26,US-2015-116981,2018-03-28,Second Class,New York,10009
Dallas,DW-13540,2020-03-06,CA-2017-148642,2020-03-12,Standard Class,Texas,75220
Seattle,RB-19570,2019-09-15,US-2016-128678,2019-09-20,Standard Class,Washington,98105
Columbus,IL-15100,2018-10-05,CA-2015-151722,2018-10-09,Standard Class,Ohio,43229
Columbus,BF-11275,2020-07-10,CA-2017-169012,2020-07-14,Standard Class,Georgia,31907
Seattle,KH-16510,2017-12-20,US-2014-109036,2017-12-25,Standard Class,Washington,98103
Wilmington,RW-19690,2019-05-30,CA-2016-145499,2019-05-31,First Class,North Carolina,28403
Chicago,GM-14455,2020-12-14,CA-2017-122595,2020-12-20,Standard Class,Illinois,60653
Morristown,GZ-14470,2020-09-17,CA-2017-126928,2020-09-23,Standard Class,New Jersey,7960
Detroit,BD-11320,2018-08-10,CA-2015-121699,2018-08-14,Standard Class,Michigan,48227
San Gabriel,BT-11305,2017-04-25,CA-2014-166954,2017-04-30,Standard Class,California,91776
New York City,KD-16495,2019-12-16,US-2016-104794,2019-12-19,First Class,New York,10009
New York City,CM-12655,2019-11-13,US-2016-113677,2019-11-19,Standard Class,New York,10011
Troy,MP-18175,2018-12-06,CA-2015-166338,2018-12-07,First Class,Ohio,45373
Salinas,DP-13105,2019-06-20,CA-2016-152534,2019-06-25,Second Class,California,93905
Marion,SS-20875,2017-12-14,US-2014-123519,2017-12-21,Standard Class,Ohio,43302
New York City,HG-14845,2020-10-09,CA-2017-141873,2020-10-14,Standard Class,New York,10024
Watertown,EH-13765,2020-08-17,US-2017-111423,2020-08-19,First Class,New York,13601
Anaheim,BD-11620,2019-12-31,CA-2017-100202,2020-01-05,Standard Class,California,92804
Richmond,SC-20695,2018-11-10,CA-2015-158659,2018-11-14,Second Class,Indiana,47374
San Francisco,GH-14410,2020-06-06,US-2017-131849,2020-06-10,Standard Class,California,94122
Fort Worth,HG-15025,2017-10-14,CA-2014-163748,2017-10-18,Standard Class,Texas,76106
Leominster,GP-14740,2018-11-26,CA-2015-117961,2018-11-30,Standard Class,Massachusetts,1453
Monroe,JE-15715,2020-06-15,CA-2017-126914,2020-06-19,Standard Class,North Carolina,28110
El Paso,GA-14515,2019-11-26,CA-2016-106915,2019-12-02,Standard Class,Texas,79907
Los Angeles,CS-12250,2020-12-04,CA-2017-153227,2020-12-06,First Class,California,90032
Tyler,CD-11980,2020-03-18,US-2017-119438,2020-03-23,Standard Class,Texas,75701
Charlottesville,TW-21025,2018-09-05,CA-2015-135510,2018-09-12,Standard Class,Virginia,22901
Columbus,LH-16900,2017-09-13,CA-2014-126277,2017-09-18,Second Class,Ohio,43229
Waynesboro,NP-18325,2017-06-21,US-2014-117135,2017-06-23,Second Class,Virginia,22980
Park Ridge,LH-16900,2020-12-09,US-2017-103814,2020-12-16,Standard Class,Illinois,60068
Provo,RH-19510,2019-07-15,CA-2016-122322,2019-07-21,Standard Class,Utah,84604
Plano,RD-19585,2020-07-03,CA-2017-111647,2020-07-07,Standard Class,Texas,75023
Houston,RO-19780,2020-11-25,CA-2017-150266,2020-11-30,Standard Class,Texas,77070
New York City,ST-20530,2017-09-23,CA-2014-163559,2017-09-28,Second Class,New York,10035
New York City,EH-13765,2019-05-02,CA-2016-158155,2019-05-06,Standard Class,New York,10009
Peoria,SN-20560,2018-06-18,CA-2015-122287,2018-06-23,Standard Class,Arizona,85345
Dallas,GA-14515,2017-05-18,CA-2014-133963,2017-05-22,Second Class,Texas,75220
Columbia,PW-19240,2018-02-21,CA-2015-162782,2018-02-27,Standard Class,Maryland,21044
Fairfield,CS-12355,2017-08-15,CA-2014-141005,2017-08-18,First Class,Connecticut,6824
New York City,CM-12655,2020-10-01,CA-2017-113418,2020-10-03,First Class,New York,10035
Lansing,EH-14005,2020-09-22,CA-2017-167381,2020-09-24,Second Class,Michigan,48911
Memphis,DD-13570,2017-12-30,CA-2014-166730,2018-01-01,First Class,Tennessee,38109
Houston,LC-17140,2019-06-25,CA-2016-101693,2019-06-27,Second Class,Texas,77070
Burlington,CB-12535,2019-01-23,US-2016-165505,2019-01-27,Standard Class,Vermont,05408
Houston,KT-16480,2019-09-10,CA-2016-146206,2019-09-14,Second Class,Texas,77095
Philadelphia,NB-18655,2017-12-05,CA-2014-125542,2017-12-07,First Class,Pennsylvania,19134
San Francisco,MT-17815,2018-12-10,CA-2015-127502,2018-12-14,Standard Class,California,94110
Springfield,LE-16810,2017-12-16,CA-2014-100706,2017-12-18,Second Class,Virginia,22153
Kenosha,PO-19180,2020-07-23,CA-2017-118346,2020-07-24,First Class,Wisconsin,53142
Los Angeles,RW-19690,2020-10-12,CA-2017-112431,2020-10-14,Second Class,California,90049
Baltimore,EM-13960,2018-12-12,CA-2015-129042,2018-12-17,Standard Class,Maryland,21215
New York City,RB-19465,2020-10-20,CA-2017-104822,2020-10-20,Same Day,New York,10024
Jacksonville,AB-10600,2018-11-30,CA-2015-158323,2018-12-03,First Class,North Carolina,28540
Tampa,AS-10240,2017-03-15,CA-2014-149958,2017-03-19,Standard Class,Florida,33614
Bloomington,SV-20785,2017-04-12,US-2014-158365,2017-04-17,Standard Class,Indiana,47401
Houston,MC-18100,2018-08-25,CA-2015-168809,2018-08-25,Same Day,Texas,77041
Los Angeles,BP-11230,2019-12-15,US-2016-116442,2019-12-22,Standard Class,California,90004
Detroit,JA-15970,2019-09-01,CA-2016-116526,2019-09-05,Standard Class,Michigan,48227
Port Arthur,ME-18010,2017-12-23,CA-2014-126333,2017-12-28,Standard Class,Texas,77642
Houston,ON-18715,2018-05-17,US-2015-117184,2018-05-21,Standard Class,Texas,77095
San Francisco,SC-20260,2018-08-31,CA-2015-111514,2018-09-02,First Class,California,94122
San Bernardino,BK-11260,2018-03-19,CA-2015-113110,2018-03-23,Standard Class,California,92404
Houston,DW-13540,2019-02-27,CA-2016-128706,2019-03-02,Standard Class,Texas,77070
Seattle,BT-11305,2018-12-01,CA-2015-103723,2018-12-06,Standard Class,Washington,98105
San Francisco,ND-18370,2020-03-19,CA-2017-105410,2020-03-22,First Class,California,94110
San Diego,MH-17785,2017-05-27,CA-2014-124429,2017-05-27,Same Day,California,92105
Dallas,PA-19060,2020-09-18,CA-2017-140508,2020-09-21,First Class,Texas,75220
Los Angeles,CA-11965,2018-04-05,CA-2015-161452,2018-04-11,Standard Class,California,90036
San Diego,XP-21865,2017-10-06,CA-2014-134677,2017-10-10,Standard Class,California,92024
Glendale,GH-14410,2017-08-03,CA-2014-128986,2017-08-05,Second Class,Arizona,85301
Seattle,SJ-20125,2020-03-23,CA-2017-120719,2020-03-26,First Class,Washington,98105
Great Falls,EM-14140,2017-07-19,CA-2014-168158,2017-07-24,Standard Class,Montana,59405
New York City,SR-20425,2020-11-08,CA-2017-143658,2020-11-13,Second Class,New York,10035
Los Angeles,JF-15490,2017-10-19,CA-2014-117317,2017-10-19,Same Day,California,90032
Lancaster,HG-14965,2020-11-04,US-2017-122672,2020-11-09,Standard Class,Ohio,43130
Philadelphia,EG-13900,2020-12-08,US-2017-167570,2020-12-15,Standard Class,Pennsylvania,19140
Philadelphia,MA-17560,2020-10-20,CA-2017-158722,2020-10-26,Standard Class,Pennsylvania,19120
New York City,AT-10735,2019-07-17,CA-2016-116603,2019-07-22,Standard Class,New York,10024
Seattle,DG-13300,2019-08-22,US-2016-106313,2019-08-26,Standard Class,Washington,98105
Chicago,AT-10735,2020-08-01,CA-2017-135034,2020-08-03,First Class,Illinois,60653
New York City,CC-12430,2020-10-03,CA-2017-143035,2020-10-05,Second Class,New York,10009
North Las Vegas,KM-16720,2017-07-26,CA-2014-126760,2017-08-02,Standard Class,Nevada,89031
Houston,LR-17035,2019-09-26,CA-2016-143406,2019-09-30,Standard Class,Texas,77041
Monroe,BG-11035,2020-08-31,CA-2017-117198,2020-09-05,Standard Class,Louisiana,71203
Los Angeles,NS-18640,2020-04-15,CA-2017-134635,2020-04-17,Second Class,California,90049
Pomona,SF-20065,2018-08-13,CA-2015-148495,2018-08-13,Same Day,California,91767
Suffolk,ML-17755,2019-08-04,CA-2016-110254,2019-08-08,Standard Class,Virginia,23434
Hialeah,FC-14245,2020-09-08,CA-2017-144456,2020-09-09,First Class,Florida,33012
San Antonio,MY-17380,2020-12-01,CA-2017-138618,2020-12-08,Standard Class,Texas,78207
San Francisco,RD-19720,2017-07-20,CA-2014-157546,2017-07-22,First Class,California,94122
Seattle,MV-17485,2018-03-27,CA-2015-132948,2018-04-03,Standard Class,Washington,98115
Philadelphia,MM-17920,2020-09-04,CA-2017-117394,2020-09-10,Standard Class,Pennsylvania,19120
Chicago,SB-20185,2017-09-20,CA-2014-120411,2017-09-23,First Class,Illinois,60653
San Francisco,LW-16990,2020-05-04,CA-2017-162978,2020-05-09,Standard Class,California,94109
Newport News,JF-15565,2019-09-11,CA-2016-102162,2019-09-16,Standard Class,Virginia,23602
Fort Worth,EB-13705,2019-03-07,US-2016-137547,2019-03-12,Standard Class,Texas,76106
Houston,CM-12445,2019-10-20,CA-2016-133697,2019-10-24,Second Class,Texas,77095
Los Angeles,GG-14650,2017-10-31,CA-2014-106439,2017-11-04,Standard Class,California,90049
Springfield,TB-21595,2019-03-29,CA-2016-127236,2019-04-02,Standard Class,Ohio,45503
Louisville,BP-11095,2020-02-20,CA-2017-105445,2020-02-25,Second Class,Colorado,80027
San Francisco,IM-15055,2019-09-04,CA-2016-129630,2019-09-04,Same Day,California,94122
New York City,HW-14935,2019-08-18,CA-2016-136133,2019-08-23,Second Class,New York,10024
Roswell,DM-13345,2020-04-08,CA-2017-157854,2020-04-15,Standard Class,Georgia,30076
Philadelphia,CM-12160,2020-10-21,CA-2017-113453,2020-10-28,Standard Class,Pennsylvania,19143
Springfield,ES-14080,2019-09-29,CA-2016-108056,2019-10-03,Standard Class,Oregon,97477
Milwaukee,PV-18985,2019-02-22,CA-2016-119025,2019-02-28,Standard Class,Wisconsin,53209
Seattle,DB-13060,2017-03-01,CA-2014-104269,2017-03-06,Second Class,Washington,98115
Houston,MY-18295,2019-12-02,CA-2016-164770,2019-12-04,Second Class,Texas,77036
Charlotte,RS-19765,2018-07-05,US-2015-158911,2018-07-11,Standard Class,North Carolina,28205
Los Angeles,CK-12595,2019-04-08,CA-2016-124233,2019-04-14,Standard Class,California,90032
Chicago,DR-12880,2018-11-28,US-2015-159982,2018-12-04,Standard Class,Illinois,60623
Jackson,TB-21520,2020-09-14,CA-2017-114440,2020-09-17,Second Class,Michigan,49201
San Francisco,DP-13390,2017-09-08,CA-2014-168592,2017-09-14,Standard Class,California,94110
Seattle,BN-11515,2017-09-17,CA-2014-103940,2017-09-21,Standard Class,Washington,98103
Tallahassee,LB-16735,2020-11-12,CA-2017-154088,2020-11-17,Standard Class,Florida,32303
Des Moines,DM-13345,2019-11-21,CA-2016-114482,2019-11-25,Second Class,Iowa,50315
Bristol,GG-14650,2018-04-05,US-2015-136476,2018-04-10,Standard Class,Tennessee,37620
Pleasant Grove,KH-16630,2018-02-03,CA-2015-132633,2018-02-05,Second Class,Utah,84062
North Las Vegas,MC-17845,2020-12-10,CA-2017-148446,2020-12-14,Second Class,Nevada,89031
